date Mon Sep 16 17:50:12.990 2024
base hex  timestamps absolute
internal events logged
Begin Triggerblock Sat Jan 03 05:19:04.252 1970
 0.000000 Start of measurement
 0.000000 1  ErrorFrame
 0.000244 1  ErrorFrame
 0.000488 1  ErrorFrame
 0.000732 1  ErrorFrame
 0.000976 1  ErrorFrame
 0.001220 1  ErrorFrame
 0.001464 1  ErrorFrame
 0.001708 1  ErrorFrame
 0.001952 1  ErrorFrame
 0.002196 1  ErrorFrame
 0.002440 1  ErrorFrame
 0.002684 1  ErrorFrame
 0.002928 1  ErrorFrame
 0.003172 1  ErrorFrame
 0.003416 1  ErrorFrame
 0.003660 1  ErrorFrame
 0.003920 1  ErrorFrame
 0.004180 1  ErrorFrame
 0.004440 1  ErrorFrame
 0.004700 1  ErrorFrame
 0.004960 1  ErrorFrame
 0.005220 1  ErrorFrame
 0.005480 1  ErrorFrame
 0.005740 1  ErrorFrame
 0.006000 1  ErrorFrame
 0.006260 1  ErrorFrame
 0.006520 1  ErrorFrame
 0.006780 1  ErrorFrame
 0.007040 1  ErrorFrame
 0.007300 1  ErrorFrame
 0.007560 1  ErrorFrame
 0.007820 1  ErrorFrame
 0.008080 1  ErrorFrame
 0.008340 1  ErrorFrame
 0.008600 1  ErrorFrame
 0.008860 1  ErrorFrame
 0.009120 1  ErrorFrame
 0.009380 1  ErrorFrame
 0.009640 1  ErrorFrame
 0.009900 1  ErrorFrame
 0.010160 1  ErrorFrame
 0.010420 1  ErrorFrame
 0.010680 1  ErrorFrame
 0.010940 1  ErrorFrame
 0.011200 1  ErrorFrame
 0.011460 1  ErrorFrame
 0.011720 1  ErrorFrame
 0.011980 1  ErrorFrame
 0.012240 1  ErrorFrame
 0.012500 1  ErrorFrame
 0.012760 1  ErrorFrame
 0.013020 1  ErrorFrame
 0.013280 1  ErrorFrame
 0.013540 1  ErrorFrame
 0.013800 1  ErrorFrame
 0.014060 1  ErrorFrame
 0.014320 1  ErrorFrame
 0.014580 1  ErrorFrame
 0.014840 1  ErrorFrame
 0.015100 1  ErrorFrame
 0.015360 1  ErrorFrame
 0.015620 1  ErrorFrame
 0.015880 1  ErrorFrame
 0.016140 1  ErrorFrame
 0.016400 1  ErrorFrame
 0.016660 1  ErrorFrame
 0.016920 1  ErrorFrame
 0.017180 1  ErrorFrame
 0.017440 1  ErrorFrame
 0.017700 1  ErrorFrame
 0.017960 1  ErrorFrame
 0.018220 1  ErrorFrame
 0.018480 1  ErrorFrame
 0.018740 1  ErrorFrame
 0.019000 1  ErrorFrame
 0.019260 1  ErrorFrame
 0.019520 1  ErrorFrame
 0.019780 1  ErrorFrame
 0.020040 1  ErrorFrame
 0.020300 1  ErrorFrame
 0.020560 1  ErrorFrame
 0.020820 1  ErrorFrame
 0.021080 1  ErrorFrame
 0.021340 1  ErrorFrame
 0.021600 1  ErrorFrame
 0.021860 1  ErrorFrame
 0.022120 1  ErrorFrame
 0.022380 1  ErrorFrame
 0.022640 1  ErrorFrame
 0.022900 1  ErrorFrame
 0.023160 1  ErrorFrame
 0.023420 1  ErrorFrame
 0.023680 1  ErrorFrame
 0.023940 1  ErrorFrame
 0.024200 1  ErrorFrame
 0.024460 1  ErrorFrame
 0.024720 1  ErrorFrame
 0.024980 1  ErrorFrame
 0.025240 1  ErrorFrame
 0.025500 1  ErrorFrame
 0.025760 1  ErrorFrame
 0.026020 1  ErrorFrame
 0.026280 1  ErrorFrame
 0.026540 1  ErrorFrame
 0.026800 1  ErrorFrame
 0.027060 1  ErrorFrame
 0.027320 1  ErrorFrame
 0.027580 1  ErrorFrame
 0.027840 1  ErrorFrame
 0.028100 1  ErrorFrame
 0.028360 1  ErrorFrame
 0.028620 1  ErrorFrame
 0.028880 1  ErrorFrame
 0.029140 1  ErrorFrame
 0.029400 1  ErrorFrame
 0.029660 1  ErrorFrame
 0.029920 1  ErrorFrame
 0.030180 1  ErrorFrame
 0.030440 1  ErrorFrame
 0.030700 1  ErrorFrame
 0.030960 1  ErrorFrame
 0.031220 1  ErrorFrame
 0.031480 1  ErrorFrame
 0.031740 1  ErrorFrame
 0.032000 1  ErrorFrame
 0.032260 1  ErrorFrame
 0.032520 1  ErrorFrame
 0.032780 1  ErrorFrame
 0.033040 1  ErrorFrame
 0.033300 1  ErrorFrame
 0.033560 1  ErrorFrame
 0.033820 1  ErrorFrame
 0.034080 1  ErrorFrame
 0.034340 1  ErrorFrame
 0.034600 1  ErrorFrame
 0.034860 1  ErrorFrame
 0.035120 1  ErrorFrame
 0.035380 1  ErrorFrame
 0.035640 1  ErrorFrame
 0.035900 1  ErrorFrame
 0.036160 1  ErrorFrame
 0.036420 1  ErrorFrame
 0.036680 1  ErrorFrame
