date Sat Sep 28 00:08:36.429 2024
base hex  timestamps absolute
internal events logged
Begin Triggerblock Wed Jan 07 11:36:56.173 1970
 0.000000 Start of measurement
 0.000000 1  ErrorFrame
 0.000256 1  ErrorFrame
 0.000512 1  ErrorFrame
 0.000725 1  ErrorFrame
 0.000981 1  ErrorFrame
 0.001237 1  ErrorFrame
 0.001451 1  ErrorFrame
 0.001707 1  ErrorFrame
 0.001963 1  ErrorFrame
 0.002176 1  ErrorFrame
 0.002432 1  ErrorFrame
 0.002688 1  ErrorFrame
 0.003512 1  ErrorFrame
 0.003542 1  ErrorFrame
 0.003572 1  ErrorFrame
 0.003627 1  ErrorFrame
 0.003883 1  ErrorFrame
 0.004139 1  ErrorFrame
 0.004395 1  ErrorFrame
 0.004651 1  ErrorFrame
 0.004949 1  ErrorFrame
 0.005205 1  ErrorFrame
 0.005461 1  ErrorFrame
 0.005717 1  ErrorFrame
 0.005973 1  ErrorFrame
 0.006229 1  ErrorFrame
 0.006485 1  ErrorFrame
 0.006741 1  ErrorFrame
 0.006997 1  ErrorFrame
 0.007253 1  ErrorFrame
 0.007509 1  ErrorFrame
 0.007765 1  ErrorFrame
 0.008021 1  ErrorFrame
 0.008277 1  ErrorFrame
 0.008533 1  ErrorFrame
 0.008789 1  ErrorFrame
 0.009045 1  ErrorFrame
 0.009301 1  ErrorFrame
 0.009557 1  ErrorFrame
 0.009813 1  ErrorFrame
 0.010069 1  ErrorFrame
 0.010368 1  ErrorFrame
 0.010624 1  ErrorFrame
 0.010880 1  ErrorFrame
 0.011136 1  ErrorFrame
 0.011392 1  ErrorFrame
 0.011648 1  ErrorFrame
 0.011904 1  ErrorFrame
 0.012160 1  ErrorFrame
 0.012416 1  ErrorFrame
 0.012672 1  ErrorFrame
 0.012928 1  ErrorFrame
 0.013184 1  ErrorFrame
 0.013440 1  ErrorFrame
 0.013696 1  ErrorFrame
 0.013952 1  ErrorFrame
 0.014208 1  ErrorFrame
 0.014464 1  ErrorFrame
 0.014720 1  ErrorFrame
 0.014976 1  ErrorFrame
 0.015232 1  ErrorFrame
 0.015488 1  ErrorFrame
 0.015744 1  ErrorFrame
 0.016042 1  ErrorFrame
 0.016298 1  ErrorFrame
 0.016554 1  ErrorFrame
 0.016810 1  ErrorFrame
 0.017066 1  ErrorFrame
 0.017322 1  ErrorFrame
 0.017578 1  ErrorFrame
 0.017834 1  ErrorFrame
 0.018090 1  ErrorFrame
 0.018346 1  ErrorFrame
 0.018602 1  ErrorFrame
 0.018858 1  ErrorFrame
 0.019114 1  ErrorFrame
 0.019370 1  ErrorFrame
 0.019626 1  ErrorFrame
 0.019882 1  ErrorFrame
 0.020138 1  ErrorFrame
 0.020394 1  ErrorFrame
 0.020650 1  ErrorFrame
 0.020906 1  ErrorFrame
 0.021162 1  ErrorFrame
 0.021461 1  ErrorFrame
 0.021717 1  ErrorFrame
 0.021973 1  ErrorFrame
 0.022229 1  ErrorFrame
 0.022485 1  ErrorFrame
 0.022741 1  ErrorFrame
 0.022997 1  ErrorFrame
 0.023253 1  ErrorFrame
 0.023509 1  ErrorFrame
 0.023765 1  ErrorFrame
 0.024021 1  ErrorFrame
 0.024277 1  ErrorFrame
 0.024533 1  ErrorFrame
 0.024789 1  ErrorFrame
 0.025045 1  ErrorFrame
 0.025301 1  ErrorFrame
 0.025557 1  ErrorFrame
 0.025813 1  ErrorFrame
 0.026069 1  ErrorFrame
 0.026325 1  ErrorFrame
 0.026581 1  ErrorFrame
 0.026880 1  ErrorFrame
 0.027136 1  ErrorFrame
 0.027392 1  ErrorFrame
 0.027648 1  ErrorFrame
 0.027904 1  ErrorFrame
 0.028160 1  ErrorFrame
 0.028416 1  ErrorFrame
 0.028672 1  ErrorFrame
 0.028928 1  ErrorFrame
 0.029184 1  ErrorFrame
 0.029440 1  ErrorFrame
 0.029696 1  ErrorFrame
 0.029952 1  ErrorFrame
 0.030208 1  ErrorFrame
 0.030464 1  ErrorFrame
 0.030720 1  ErrorFrame
 0.030976 1  ErrorFrame
 0.031232 1  ErrorFrame
 0.031488 1  ErrorFrame
 0.031744 1  ErrorFrame
 0.032000 1  ErrorFrame
 0.032256 1  ErrorFrame
 0.032554 1  ErrorFrame
 0.032810 1  ErrorFrame
 0.033066 1  ErrorFrame
 0.033322 1  ErrorFrame
 0.033578 1  ErrorFrame
 0.033834 1  ErrorFrame
 0.034090 1  ErrorFrame
 0.034346 1  ErrorFrame
 0.034602 1  ErrorFrame
